timestamp,category,value,quantity
2024-01-01 00:00:00,C,82.83451370619801,11
2024-01-01 01:00:00,B,105.88929626874959,18
2024-01-01 02:00:00,A,101.36288080842401,18
2024-01-01 03:00:00,C,93.66807440404833,11
2024-01-01 04:00:00,B,91.16661305179953,15
2024-01-01 05:00:00,C,96.88558722073168,11
2024-01-01 06:00:00,A,82.04733531143246,7
2024-01-01 07:00:00,B,101.68818716080305,11
2024-01-01 08:00:00,A,79.69759224923239,6
2024-01-01 09:00:00,C,121.27568850710843,2
2024-01-01 10:00:00,B,115.514524855004,17
2024-01-01 11:00:00,B,116.84684409231585,18
2024-01-01 12:00:00,A,96.11489093903339,16
2024-01-01 13:00:00,B,107.98748669281682,2
2024-01-01 14:00:00,B,114.23427982301709,14
2024-01-01 15:00:00,A,108.77971148415955,19
2024-01-01 16:00:00,C,88.11996599555876,8
2024-01-01 17:00:00,B,102.04695498064697,16
2024-01-01 18:00:00,C,83.6617431796198,14
2024-01-01 19:00:00,C,101.60749648247328,9
2024-01-01 20:00:00,B,101.92880842161432,3
2024-01-01 21:00:00,B,88.15112147938659,1
2024-01-01 22:00:00,A,80.17811044950685,12
2024-01-01 23:00:00,C,117.25490596564327,8
2024-01-02 00:00:00,C,88.99491101000586,3
2024-01-02 01:00:00,C,60.683593438976324,19
2024-01-02 02:00:00,A,106.32716825258215,15
2024-01-02 03:00:00,A,104.680716599292,7
2024-01-02 04:00:00,C,129.66970159771134,11
2024-01-02 05:00:00,C,108.76038616711969,11
2024-01-02 06:00:00,C,118.81414970885086,7
2024-01-02 07:00:00,C,71.59756747339934,17
2024-01-02 08:00:00,A,79.51245531531696,16
2024-01-02 09:00:00,C,87.5095533209783,4
2024-01-02 10:00:00,B,103.2541340641724,14
2024-01-02 11:00:00,A,86.11223271894765,9
2024-01-02 12:00:00,B,89.5991233404685,1
2024-01-02 13:00:00,B,79.81911282330151,1
2024-01-02 14:00:00,A,114.52011539507454,18
2024-01-02 15:00:00,C,95.84783561518952,17
2024-01-02 16:00:00,B,102.1318981715041,3
2024-01-02 17:00:00,C,125.36338598129552,17
2024-01-02 18:00:00,A,90.30090188208078,1
2024-01-02 19:00:00,C,83.30700872911478,1
2024-01-02 20:00:00,B,99.67523123579004,17
2024-01-02 21:00:00,B,135.57261779481547,19
2024-01-02 22:00:00,A,103.85913588732777,15
2024-01-02 23:00:00,C,101.75042171277806,5
2024-01-03 00:00:00,C,93.97048177149735,12
2024-01-03 01:00:00,A,116.59528319331532,13
2024-01-03 02:00:00,A,111.43551165924514,1
2024-01-03 03:00:00,B,93.78205820518004,3
2024-01-03 04:00:00,B,126.75051355372881,1
2024-01-03 05:00:00,C,135.76696934056787,15
2024-01-03 06:00:00,C,128.4709487758083,10
2024-01-03 07:00:00,C,101.59907079927136,15
2024-01-03 08:00:00,C,98.70767635961258,17
2024-01-03 09:00:00,B,108.04373223526811,10
2024-01-03 10:00:00,B,94.15846521326766,5
2024-01-03 11:00:00,B,107.78701135775468,6
2024-01-03 12:00:00,C,83.40838646710472,4
2024-01-03 13:00:00,A,113.76342323220165,5
2024-01-03 14:00:00,B,88.20591845347008,4
2024-01-03 15:00:00,C,104.80006335633199,2
2024-01-03 16:00:00,A,124.61153362137036,2
2024-01-03 17:00:00,A,77.64430644442301,18
2024-01-03 18:00:00,C,104.61627216958357,12
2024-01-03 19:00:00,A,77.11885616475968,18
2024-01-03 20:00:00,C,92.07583184627613,15
2024-01-03 21:00:00,A,86.53595499678735,17
2024-01-03 22:00:00,A,80.4111217368202,7
2024-01-03 23:00:00,A,112.940244829688,3
2024-01-04 00:00:00,B,57.5120373332214,14
2024-01-04 01:00:00,C,92.38856623635628,15
2024-01-04 02:00:00,C,69.18370608666125,2
2024-01-04 03:00:00,C,108.91505318850787,19
2024-01-04 04:00:00,A,117.94728654732744,3
2024-01-04 05:00:00,A,87.38262119009671,11
2024-01-04 06:00:00,A,82.65592721799722,17
2024-01-04 07:00:00,A,99.56602725611748,9
2024-01-04 08:00:00,C,113.02185853120368,11
2024-01-04 09:00:00,A,107.86946140204245,6
2024-01-04 10:00:00,B,118.84598294025011,2
2024-01-04 11:00:00,C,101.05046316762308,3
2024-01-04 12:00:00,A,119.26081819421577,7
2024-01-04 13:00:00,A,105.52321402259244,6
2024-01-04 14:00:00,B,90.52966740315159,14
2024-01-04 15:00:00,A,70.25110659289393,13
2024-01-04 16:00:00,A,117.20604487434757,7
2024-01-04 17:00:00,C,80.62473064365128,5
2024-01-04 18:00:00,A,127.50803955783927,3
2024-01-04 19:00:00,A,78.28574839441819,13
2024-01-04 20:00:00,B,101.97584977952769,18
2024-01-04 21:00:00,B,116.30626857769172,7
2024-01-04 22:00:00,B,96.81463310068408,6
2024-01-04 23:00:00,A,84.60280932330612,10
2024-01-05 00:00:00,C,96.45585625339373,10
2024-01-05 01:00:00,B,105.33873161599426,6
2024-01-05 02:00:00,B,105.18793744600599,18
2024-01-05 03:00:00,C,87.9129452740512,8
