timestamp,category,value,quantity,value_rolling_mean,value_rolling_std,quantity_rolling_mean,quantity_rolling_std,value_zscore,is_outlier,total_outliers,value_normalized,value_above_threshold,quantity_normalized,quantity_above_threshold,value_rolling_mean_normalized,value_rolling_mean_above_threshold,value_rolling_std_normalized,value_rolling_std_above_threshold,quantity_rolling_mean_normalized,quantity_rolling_mean_above_threshold,quantity_rolling_std_normalized,quantity_rolling_std_above_threshold,value_zscore_normalized,value_zscore_above_threshold,total_outliers_normalized,total_outliers_above_threshold,composite_score
2024-01-01 00:00:00,C,117.33418291883466,15,nan,nan,nan,nan,1.2622964198015942,False,1,1.2622964198015942,True,0.7443535591684338,False,nan,False,nan,False,nan,False,nan,False,1.262296419801596,True,nan,False,19.6950608196297
2024-01-01 01:00:00,C,98.56127168024928,15,nan,nan,nan,nan,0.007601421174513759,False,1,0.007601421174513759,False,0.7443535591684338,False,nan,False,nan,False,nan,False,nan,False,0.007601421174515501,False,nan,False,16.475489928991607
2024-01-01 02:00:00,C,62.38758059726044,8,nan,nan,nan,nan,-2.410081627921244,False,1,-2.410081627921244,False,-0.6715363631628263,False,nan,False,nan,False,nan,False,nan,False,-2.410081627921242,False,nan,False,9.069399907190554
2024-01-01 03:00:00,A,115.73149762794192,7,nan,nan,nan,nan,1.1551803101423108,False,1,1.1551803101423108,True,-0.873806352067292,False,nan,False,nan,False,nan,False,nan,False,1.1551803101423126,True,nan,False,18.046176029471653
2024-01-01 04:00:00,A,124.41608858827652,9,nan,nan,nan,nan,1.7356184054685893,False,1,1.7356184054685893,True,-0.46926637425836054,False,nan,False,nan,False,nan,False,nan,False,1.735618405468591,True,nan,False,19.879096775774848
2024-01-01 05:00:00,A,95.98764214997396,11,nan,nan,nan,nan,-0.16440813338612054,False,1,-0.16440813338612054,False,-0.06472639644942908,False,nan,False,nan,False,nan,False,nan,False,-0.1644081333861188,False,nan,False,15.347098764766598
2024-01-01 06:00:00,C,92.72040124853017,5,nan,nan,nan,nan,-0.38277548015786583,False,1,-0.38277548015786583,False,-1.2783463298762234,False,nan,False,nan,False,nan,False,nan,False,-0.3827754801578641,False,nan,False,13.756246925454334
2024-01-01 07:00:00,C,78.72498004058104,15,nan,nan,nan,nan,-1.3181650300323027,False,1,-1.3181650300323027,False,0.7443535591684338,False,nan,False,nan,False,nan,False,nan,False,-1.318165030032301,False,nan,False,13.073548358521794
2024-01-01 08:00:00,A,81.12417404099953,5,nan,nan,nan,nan,-1.1578139435756658,False,1,-1.1578139435756658,False,-1.2783463298762234,False,nan,False,nan,False,nan,False,nan,False,-1.157813943575664,False,nan,False,11.767483697199472
2024-01-01 09:00:00,C,118.7875008390034,11,98.5775319731651,20.47115645066073,10.1,3.956710193526379,1.3594295017554958,False,1,1.3594295017554958,True,-0.06472639644942908,False,0.05649526464198875,False,1.523720908558385,True,-1.2306479475452092,False,-1.4357582525850696,False,1.3594295017554976,True,nan,False,17.78801810254952
